,Ship Mode,Segment,City,Country,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
241,Standard Class,Consumer,Surabaya,Indonesia,Furniture,Bookcases,entre 7 y 8,0.07,Medium,December,337.86899999999997
242,Second Class,Consumer,Manila,Philippines,Furniture,Tables,entre 5 y 6,0.55,High,November,190.22727272727272
243,First Class,Home Office,Yangon,Myanmar (Burma),Technology,Accessories,entre 3 y 4,0.47,Critical,June,112.44934285714285
244,Standard Class,Consumer,León,Nicaragua,Furniture,Chairs,entre 3 y 4,0.0,Low,December,263.10857142857145
245,First Class,Consumer,San Salvador,El Salvador,Furniture,Chairs,entre 1 y 2,0.0,High,April,407.06666666666666
246,First Class,Corporate,Managua,Nicaragua,Furniture,Bookcases,entre 5 y 6,0.0,Medium,June,248.61818181818182
247,Standard Class,Consumer,London,United Kingdom,Technology,Machines,entre 5 y 6,0.1,High,May,256.9909090909091
248,Second Class,Corporate,Brisbane,Australia,Technology,Phones,entre 5 y 6,0.1,High,February,150.0218181818182
249,Second Class,Corporate,Mexico City,Mexico,Technology,Phones,entre 5 y 6,0.0,Critical,November,105.12727272727274
250,Standard Class,Home Office,London,United Kingdom,Furniture,Bookcases,entre 3 y 4,0.1,Medium,December,451.0388571428571
251,Second Class,Consumer,Baghdad,Iraq,Office Supplies,Storage,entre 11 y 12,0.0,Medium,January,147.78782608695653
252,Standard Class,Corporate,Brisbane,Australia,Office Supplies,Storage,entre 7 y 8,0.1,Medium,January,171.486
253,First Class,Consumer,Managua,Nicaragua,Office Supplies,Appliances,entre 1 y 2,0.0,Medium,December,504.8
254,Standard Class,Corporate,San Salvador,El Salvador,Technology,Copiers,entre 11 y 12,0.002,High,January,122.74358608695653
255,First Class,Corporate,Riyadh,Saudi Arabia,Technology,Copiers,entre 1 y 2,0.0,Critical,February,504.40000000000003
256,First Class,Consumer,Jakarta,Indonesia,Technology,Copiers,entre 5 y 6,0.07,Critical,November,142.54363636363635
257,Same Day,Consumer,Singapore,Singapore,Technology,Accessories,entre 3 y 4,0.0,High,November,212.32285714285715
258,Standard Class,Consumer,Singapore,Singapore,Technology,Copiers,entre 5 y 6,0.0,High,November,265.8436363636364
259,First Class,Consumer,Mexico City,Mexico,Furniture,Chairs,entre 7 y 8,0.2,Medium,April,89.65973333333334
260,Standard Class,Home Office,Dhaka,Bangladesh,Technology,Copiers,entre 5 y 6,0.0,Medium,January,321.92727272727274
261,Standard Class,Consumer,Perth,Australia,Furniture,Chairs,entre 5 y 6,0.1,Medium,May,387.4990909090909
262,Standard Class,Corporate,Brisbane,Australia,Technology,Phones,entre 3 y 4,0.1,Medium,December,491.7857142857143
263,Second Class,Home Office,Paris,France,Technology,Copiers,entre 7 y 8,0.15,Medium,April,193.0418
264,Standard Class,Consumer,Rome,Italy,Technology,Copiers,entre 3 y 4,0.0,Low,June,272.59714285714284
265,First Class,Corporate,Dhaka,Bangladesh,Technology,Machines,entre 3 y 4,0.0,High,June,228.21428571428572
266,First Class,Consumer,Paris,France,Technology,Copiers,entre 5 y 6,0.15,High,August,114.93545454545455
267,Standard Class,Corporate,Surabaya,Indonesia,Office Supplies,Appliances,entre 3 y 4,0.17,Medium,July,541.5394285714285
268,Same Day,Consumer,Brisbane,Australia,Furniture,Bookcases,entre 3 y 4,0.1,High,December,129.168
269,Standard Class,Home Office,Kinshasa,Democratic Republic of the Congo,Technology,Copiers,entre 3 y 4,0.0,High,February,361.98857142857145
270,Standard Class,Corporate,Jakarta,Indonesia,Technology,Phones,entre 3 y 4,0.17,Medium,August,620.5933714285713
271,Standard Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 3 y 4,0.25,Medium,October,400.6542857142857
272,Standard Class,Corporate,Sydney,Australia,Furniture,Chairs,entre 3 y 4,0.1,High,August,357.69599999999997
273,Second Class,Home Office,São Paulo,Brazil,Furniture,Bookcases,entre 5 y 6,0.0,Critical,December,104.76363636363637
274,First Class,Corporate,Gold Coast,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,December,163.11927272727272
275,First Class,Consumer,Vienna,Austria,Technology,Phones,entre 11 y 12,0.0,Medium,August,62.52782608695652
276,Standard Class,Consumer,Gold Coast,Australia,Furniture,Bookcases,entre 3 y 4,0.1,High,September,317.63571428571424
277,Same Day,Home Office,Melbourne,Australia,Technology,Machines,entre 1 y 2,0.1,Critical,September,362.124
278,First Class,Corporate,Santiago de Cuba,Cuba,Furniture,Furnishings,entre 7 y 8,0.0,High,November,78.144
279,Standard Class,Home Office,Ho Chi Minh City,Vietnam,Technology,Phones,entre 11 y 12,0.17,Medium,August,118.42873043478261
280,Standard Class,Corporate,Lahore,Pakistan,Office Supplies,Appliances,entre 3 y 4,0.5,High,October,310.33714285714285
281,First Class,Consumer,Santo Domingo,Dominican Republic,Technology,Copiers,entre 3 y 4,0.202,High,November,147.94464
282,First Class,Consumer,Ho Chi Minh City,Vietnam,Office Supplies,Storage,entre 7 y 8,0.17,Critical,November,119.17472
283,First Class,Consumer,Mixco,Guatemala,Furniture,Tables,entre 3 y 4,0.2,Medium,June,243.56571428571428
284,Standard Class,Corporate,London,United Kingdom,Office Supplies,Appliances,entre 3 y 4,0.1,High,June,586.4399999999999
285,First Class,Consumer,Ho Chi Minh City,Vietnam,Technology,Accessories,entre 3 y 4,0.47,Critical,November,112.35394285714287
286,Second Class,Corporate,Paris,France,Furniture,Tables,entre 5 y 6,0.35,Medium,August,296.3468181818182
287,Standard Class,Consumer,Adelaide,Australia,Furniture,Bookcases,entre 9 y 10,0.1,High,September,127.43431578947369
288,Standard Class,Consumer,Mexico City,Mexico,Furniture,Tables,entre 5 y 6,0.2,High,June,273.23345454545455
289,Same Day,Consumer,São Paulo,Brazil,Furniture,Furnishings,entre 5 y 6,0.0,Critical,October,79.98545454545454
290,Second Class,Corporate,Sydney,Australia,Furniture,Chairs,entre 3 y 4,0.1,Medium,December,472.11428571428576
291,Standard Class,Home Office,Manila,Philippines,Technology,Machines,entre 7 y 8,0.25,Medium,July,217.35
292,Standard Class,Corporate,Jakarta,Indonesia,Furniture,Tables,entre 7 y 8,0.47,Medium,January,271.41088
293,Second Class,Consumer,London,United Kingdom,Technology,Copiers,entre 7 y 8,0.1,High,February,114.8544
294,Standard Class,Home Office,Alexandria,Egypt,Furniture,Tables,entre 7 y 8,0.0,Medium,November,357.216
295,Second Class,Consumer,Adelaide,Australia,Office Supplies,Appliances,entre 1 y 2,0.1,Critical,December,333.468
296,Standard Class,Corporate,Ho Chi Minh City,Vietnam,Office Supplies,Appliances,entre 3 y 4,0.17,Medium,June,513.9075428571429
297,Standard Class,Corporate,Mexico City,Mexico,Technology,Copiers,entre 9 y 10,0.002,Medium,August,239.58303157894736
298,Same Day,Corporate,Jakarta,Indonesia,Technology,Copiers,entre 3 y 4,0.07,Medium,August,179.19771428571428
299,Standard Class,Home Office,Paris,France,Technology,Accessories,entre 5 y 6,0.0,Medium,November,224.0181818181818
300,Same Day,Consumer,Managua,Nicaragua,Furniture,Bookcases,entre 3 y 4,0.0,Medium,January,314.88
301,Standard Class,Corporate,London,United Kingdom,Furniture,Bookcases,entre 7 y 8,0.1,Low,August,162.432
302,Standard Class,Consumer,San Salvador,El Salvador,Furniture,Chairs,entre 9 y 10,0.0,Medium,March,300.54315789473685
303,Second Class,Consumer,Alexandria,Egypt,Technology,Phones,entre 3 y 4,0.0,Critical,July,151.57714285714286
304,Standard Class,Corporate,London,United Kingdom,Office Supplies,Storage,entre 9 y 10,0.1,Medium,January,169.17915789473685
305,First Class,Consumer,Lahore,Pakistan,Technology,Copiers,entre 3 y 4,0.5,High,November,161.57571428571427
306,Standard Class,Consumer,Bangkok,Thailand,Furniture,Bookcases,entre 7 y 8,0.37,Medium,October,262.84608000000003
307,Standard Class,Consumer,London,United Kingdom,Technology,Phones,entre 3 y 4,0.1,Medium,November,654.3257142857143
308,Same Day,Consumer,Manila,Philippines,Technology,Copiers,entre 3 y 4,0.35,Critical,January,199.68557142857142
309,First Class,Consumer,Ho Chi Minh City,Vietnam,Technology,Accessories,entre 5 y 6,0.47,High,February,123.41290909090908
310,Standard Class,Consumer,Brisbane,Australia,Technology,Copiers,entre 5 y 6,0.1,Low,June,312.2427272727273
311,Same Day,Corporate,Tegucigalpa,Honduras,Furniture,Bookcases,entre 3 y 4,0.4,Critical,October,140.832
312,First Class,Consumer,Paris,France,Technology,Copiers,entre 5 y 6,0.15,High,August,114.61090909090909
313,First Class,Consumer,Brisbane,Australia,Furniture,Bookcases,entre 3 y 4,0.1,High,December,178.75542857142858
314,Second Class,Corporate,Villa Nueva,Guatemala,Technology,Copiers,entre 3 y 4,0.002,High,April,215.00341714285716
315,First Class,Consumer,Jakarta,Indonesia,Furniture,Bookcases,entre 3 y 4,0.07,High,April,150.81942857142857
316,Second Class,Consumer,Manila,Philippines,Furniture,Bookcases,entre 5 y 6,0.35,Medium,March,214.41136363636363
317,Standard Class,Corporate,Managua,Nicaragua,Office Supplies,Storage,entre 7 y 8,0.0,Low,September,123.76
318,First Class,Corporate,Jakarta,Indonesia,Technology,Copiers,entre 3 y 4,0.07,High,June,318.79337142857145
319,Standard Class,Home Office,Brisbane,Australia,Technology,Copiers,entre 7 y 8,0.1,Medium,November,221.5332
320,Same Day,Consumer,Kinshasa,Democratic Republic of the Congo,Office Supplies,Appliances,entre 3 y 4,0.0,High,December,319.09714285714284
321,Standard Class,Corporate,Mexico City,Mexico,Technology,Phones,entre 3 y 4,0.0,High,June,484.75428571428574
322,First Class,Consumer,Surabaya,Indonesia,Furniture,Chairs,entre 7 y 8,0.27,Critical,November,110.39644
323,First Class,Home Office,Gold Coast,Australia,Furniture,Chairs,entre 1 y 2,0.1,High,August,548.568
324,First Class,Corporate,Manila,Philippines,Technology,Phones,entre 1 y 2,0.25,Medium,February,637.35
325,First Class,Corporate,Perth,Australia,Furniture,Chairs,entre 3 y 4,0.1,High,August,129.55371428571428
326,Standard Class,Corporate,Ho Chi Minh City,Vietnam,Office Supplies,Appliances,entre 9 y 10,0.17,Medium,March,243.5613157894737
327,Second Class,Corporate,Managua,Nicaragua,Office Supplies,Appliances,entre 5 y 6,0.0,High,May,314.74545454545455
328,First Class,Consumer,Santo Domingo,Dominican Republic,Technology,Phones,entre 1 y 2,0.2,High,November,464.128
329,Second Class,Corporate,Mixco,Guatemala,Technology,Machines,entre 7 y 8,0.0,Critical,August,76.06666666666666
330,Standard Class,Consumer,Kinshasa,Democratic Republic of the Congo,Technology,Copiers,entre 3 y 4,0.0,Medium,November,406.7657142857143
331,First Class,Corporate,Santiago de Cuba,Cuba,Furniture,Tables,entre 3 y 4,0.0,High,November,183.06857142857143
332,Standard Class,Consumer,Adelaide,Australia,Technology,Copiers,entre 9 y 10,0.1,High,September,102.00884210526316
333,Second Class,Corporate,Sydney,Australia,Furniture,Bookcases,entre 7 y 8,0.1,Medium,March,367.59240000000005
334,Standard Class,Consumer,São Paulo,Brazil,Office Supplies,Storage,entre 5 y 6,0.0,High,December,144.65454545454546
335,Standard Class,Home Office,Bangkok,Thailand,Technology,Machines,entre 3 y 4,0.17,Low,August,292.36868571428573
336,Standard Class,Home Office,San Salvador,El Salvador,Furniture,Tables,entre 5 y 6,0.2,Medium,September,414.6181818181818
337,Second Class,Consumer,Gold Coast,Australia,Technology,Phones,entre 1 y 2,0.1,Critical,December,385.66799999999995
338,Same Day,Home Office,Jakarta,Indonesia,Office Supplies,Appliances,entre 3 y 4,0.17,High,October,490.8572571428571
339,Standard Class,Consumer,Madrid,Spain,Technology,Copiers,entre 3 y 4,0.0,High,February,271.49142857142857
340,Second Class,Corporate,Madrid,Spain,Furniture,Bookcases,entre 3 y 4,0.0,Medium,December,332.25428571428574
341,Standard Class,Corporate,Adelaide,Australia,Technology,Copiers,entre 11 y 12,0.1,Medium,April,123.00965217391305
342,Same Day,Corporate,Adelaide,Australia,Furniture,Bookcases,entre 3 y 4,0.1,High,August,199.584
343,Standard Class,Corporate,Brisbane,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,June,108.39272727272727
344,First Class,Corporate,Santiago de Cuba,Cuba,Technology,Accessories,entre 5 y 6,0.0,High,October,150.01818181818183
345,First Class,Consumer,Tegucigalpa,Honduras,Technology,Accessories,entre 3 y 4,0.4,Critical,June,112.64914285714285
346,First Class,Consumer,Kinshasa,Democratic Republic of the Congo,Technology,Phones,entre 3 y 4,0.0,Medium,November,193.98857142857145
347,Standard Class,Consumer,Jakarta,Indonesia,Technology,Copiers,entre 5 y 6,0.07,Low,February,222.97172727272726
348,Same Day,Consumer,Kinshasa,Democratic Republic of the Congo,Furniture,Chairs,entre 3 y 4,0.0,High,December,158.26285714285714
349,Same Day,Corporate,Bangkok,Thailand,Technology,Phones,entre 3 y 4,0.17,Critical,May,98.02774285714285
350,Same Day,Corporate,Manila,Philippines,Technology,Copiers,entre 3 y 4,0.35,Medium,July,177.18814285714285
351,First Class,Home Office,Villa Nueva,Guatemala,Technology,Accessories,entre 5 y 6,0.0,High,April,157.47272727272727
352,Standard Class,Corporate,Riyadh,Saudi Arabia,Technology,Copiers,entre 3 y 4,0.0,Low,July,271.54285714285714
353,Standard Class,Home Office,Vienna,Austria,Furniture,Bookcases,entre 9 y 10,0.0,Medium,December,162.34105263157895
354,Standard Class,Home Office,Buenos Aires,Argentina,Technology,Phones,entre 5 y 6,0.4,Medium,November,232.33090909090907
355,Second Class,Corporate,Madrid,Spain,Technology,Machines,entre 3 y 4,0.1,High,May,241.79657142857144
356,Same Day,Home Office,Singapore,Singapore,Furniture,Chairs,entre 7 y 8,0.0,High,July,76.8
357,Standard Class,Corporate,Bangkok,Thailand,Furniture,Bookcases,entre 5 y 6,0.37,Medium,October,236.04381818181818
358,Standard Class,Consumer,Manila,Philippines,Technology,Phones,entre 9 y 10,0.25,Low,February,96.98684210526316
359,Standard Class,Consumer,Yangon,Myanmar (Burma),Furniture,Chairs,entre 3 y 4,0.27,High,December,287.4468857142857
360,Second Class,Consumer,Sydney,Australia,Technology,Machines,entre 3 y 4,0.1,Medium,September,271.1725714285714
361,Standard Class,Consumer,Mexico City,Mexico,Technology,Copiers,entre 5 y 6,0.002,Medium,October,216.39543272727272
362,First Class,Consumer,London,United Kingdom,Furniture,Bookcases,entre 1 y 2,0.1,Critical,June,494.568
363,Standard Class,Corporate,Riyadh,Saudi Arabia,Furniture,Bookcases,entre 3 y 4,0.0,Medium,February,447.01714285714286
364,Second Class,Consumer,Gold Coast,Australia,Furniture,Bookcases,entre 5 y 6,0.1,Medium,June,296.5090909090909
365,Second Class,Consumer,Rome,Italy,Technology,Copiers,entre 3 y 4,0.0,High,July,271.36285714285714
366,Same Day,Corporate,Bangkok,Thailand,Furniture,Bookcases,entre 3 y 4,0.37,Critical,May,88.53840000000001
367,First Class,Corporate,Ho Chi Minh City,Vietnam,Technology,Copiers,entre 3 y 4,0.37,High,May,271.3392
368,Standard Class,Consumer,Sydney,Australia,Furniture,Bookcases,entre 7 y 8,0.1,Medium,May,325.1556
369,Standard Class,Home Office,Cairo,Egypt,Technology,Machines,entre 1 y 2,0.0,High,November,416.11999999999995
370,Same Day,Consumer,Melbourne,Australia,Furniture,Bookcases,entre 5 y 6,0.1,Medium,September,318.47727272727275
371,First Class,Consumer,San Pedro Sula,Honduras,Technology,Copiers,entre 3 y 4,0.402,Critical,November,129.30126857142858
372,Second Class,Consumer,Adelaide,Australia,Furniture,Bookcases,entre 5 y 6,0.1,High,May,102.74727272727273
373,Second Class,Home Office,Stockholm,Sweden,Furniture,Tables,entre 5 y 6,0.7,High,July,247.98272727272726
374,Same Day,Corporate,Sydney,Australia,Office Supplies,Appliances,entre 1 y 2,0.1,Critical,January,184.06799999999998
375,Same Day,Consumer,Canberra,Australia,Furniture,Bookcases,entre 3 y 4,0.4,Medium,July,299.8902857142857
376,Same Day,Consumer,Madrid,Spain,Furniture,Bookcases,entre 3 y 4,0.0,Critical,August,146.80285714285714
377,Standard Class,Consumer,Rome,Italy,Technology,Copiers,entre 5 y 6,0.0,High,September,272.3454545454546
378,First Class,Consumer,Melbourne,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,November,376.0609090909091
379,Second Class,Consumer,Canberra,Australia,Furniture,Chairs,entre 5 y 6,0.4,Critical,December,78.90545454545455
380,Second Class,Home Office,Ho Chi Minh City,Vietnam,Technology,Phones,entre 7 y 8,0.17,High,March,105.81172
381,Standard Class,Consumer,Paris,France,Office Supplies,Appliances,entre 3 y 4,0.1,High,August,384.3797142857143
382,Standard Class,Home Office,Yangon,Myanmar (Burma),Furniture,Chairs,entre 3 y 4,0.27,High,August,287.5970571428571
383,First Class,Consumer,Melbourne,Australia,Furniture,Bookcases,entre 1 y 2,0.1,Medium,October,440.208
384,Standard Class,Home Office,San Salvador,El Salvador,Technology,Accessories,entre 5 y 6,0.0,Medium,June,150.01818181818183
385,Second Class,Corporate,Panama City,Panama,Furniture,Bookcases,entre 5 y 6,0.4,High,December,131.58545454545455
386,Standard Class,Corporate,London,United Kingdom,Technology,Machines,entre 3 y 4,0.1,High,July,230.59542857142856
387,Second Class,Home Office,Singapore,Singapore,Office Supplies,Storage,entre 5 y 6,0.0,Critical,July,180.8181818181818
388,First Class,Corporate,Rome,Italy,Technology,Phones,entre 5 y 6,0.4,High,April,90.288
389,First Class,Consumer,Cairo,Egypt,Technology,Accessories,entre 3 y 4,0.0,High,September,118.5942857142857
390,Standard Class,Corporate,Managua,Nicaragua,Furniture,Bookcases,entre 7 y 8,0.0,Low,December,93.53866666666666
391,Second Class,Corporate,Perth,Australia,Office Supplies,Storage,entre 9 y 10,0.1,Medium,December,176.8016842105263
392,First Class,Corporate,Manila,Philippines,Technology,Copiers,entre 5 y 6,0.35,High,January,83.81454545454545
393,First Class,Consumer,London,United Kingdom,Technology,Copiers,entre 5 y 6,0.1,High,November,122.82545454545453
394,Second Class,Consumer,Panama City,Panama,Office Supplies,Storage,entre 7 y 8,0.4,Critical,December,54.784
395,Standard Class,Corporate,São Paulo,Brazil,Technology,Copiers,entre 7 y 8,0.002,Medium,December,234.91589333333334
396,Standard Class,Corporate,San Pedro Sula,Honduras,Office Supplies,Appliances,entre 3 y 4,0.4,High,December,227.78057142857142
397,First Class,Consumer,Kinshasa,Democratic Republic of the Congo,Technology,Copiers,entre 1 y 2,0.0,High,May,401.84
398,Same Day,Consumer,Jakarta,Indonesia,Furniture,Chairs,entre 7 y 8,0.27,High,November,73.35040000000001
399,Standard Class,Consumer,Singapore,Singapore,Technology,Copiers,entre 5 y 6,0.0,High,November,135.21818181818182
