,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
264,Second Class,Corporate,Philadelphia,Technology,Machines,entre 3 y 4,0.7,Critical,March,128.31428571428572
265,Second Class,Corporate,Philadelphia,Furniture,Chairs,entre 1 y 2,0.3,Critical,March,257.7866666666667
266,First Class,Corporate,Los Angeles,Furniture,Bookcases,entre 5 y 6,0.15,High,October,112.18145454545456
267,Standard Class,Corporate,Seattle,Technology,Accessories,entre 1 y 2,0.0,High,August,562.6
268,Standard Class,Home Office,New York City,Technology,Machines,entre 1 y 2,0.0,High,November,1547.9333333333334
269,Same Day,Corporate,San Diego,Office Supplies,Storage,entre 3 y 4,0.0,High,May,102.66285714285713
270,Standard Class,Consumer,Los Angeles,Technology,Machines,entre 1 y 2,0.2,Low,May,372.26666666666665
271,Standard Class,Corporate,San Francisco,Furniture,Tables,entre 3 y 4,0.2,High,July,199.52914285714286
272,Second Class,Home Office,Chicago,Office Supplies,Storage,entre 3 y 4,0.2,Critical,October,144.37714285714284
273,Standard Class,Consumer,San Diego,Furniture,Chairs,entre 5 y 6,0.2,High,September,109.80363636363636
274,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 7 y 8,0.2,Medium,August,274.7658666666667
275,Second Class,Home Office,San Diego,Technology,Accessories,entre 3 y 4,0.0,Critical,November,106.27714285714286
276,First Class,Corporate,Los Angeles,Office Supplies,Storage,entre 3 y 4,0.0,Critical,November,98.5457142857143
277,Same Day,Corporate,New York City,Furniture,Chairs,entre 7 y 8,0.1,High,September,118.2804
278,Standard Class,Consumer,San Diego,Technology,Copiers,entre 3 y 4,0.2,Medium,August,342.85028571428575
279,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 3 y 4,0.4,High,November,141.4234285714286
280,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 1 y 2,0.2,High,April,392.5226666666667
281,First Class,Corporate,Seattle,Office Supplies,Binders,entre 5 y 6,0.2,High,April,162.89454545454544
282,Standard Class,Consumer,San Francisco,Furniture,Bookcases,entre 13 y 14,0.15,Medium,December,99.02437037037036
283,First Class,Home Office,New York City,Technology,Phones,entre 3 y 4,0.0,High,August,99.42
284,Standard Class,Home Office,Philadelphia,Technology,Phones,entre 7 y 8,0.4,Low,November,99.83359999999999
285,First Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 3 y 4,0.2,High,December,124.10057142857143
286,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 3 y 4,0.4,High,July,141.2502857142857
287,Standard Class,Home Office,Los Angeles,Technology,Phones,entre 7 y 8,0.2,High,November,161.71306666666666
288,Standard Class,Home Office,Seattle,Technology,Phones,entre 3 y 4,0.2,High,August,311.76228571428567
289,Standard Class,Corporate,Philadelphia,Technology,Accessories,entre 5 y 6,0.2,Medium,February,239.96363636363637
290,Second Class,Home Office,Los Angeles,Technology,Phones,entre 9 y 10,0.2,High,November,60.624
291,Standard Class,Consumer,Philadelphia,Furniture,Tables,entre 5 y 6,0.4,High,August,155.10763636363637
292,Standard Class,Consumer,Los Angeles,Office Supplies,Storage,entre 5 y 6,0.0,Medium,August,162.24545454545455
293,Standard Class,Home Office,Dallas,Furniture,Chairs,entre 1 y 2,0.3,High,July,654.2479999999999
294,Standard Class,Consumer,Philadelphia,Furniture,Chairs,entre 5 y 6,0.3,High,May,153.47563636363637
295,Second Class,Home Office,Seattle,Furniture,Tables,entre 1 y 2,0.0,Medium,December,347.97333333333336
296,Standard Class,Corporate,Philadelphia,Technology,Phones,entre 5 y 6,0.4,Low,May,123.19636363636364
297,Standard Class,Consumer,San Francisco,Technology,Phones,entre 5 y 6,0.2,High,April,142.5381818181818
298,First Class,Home Office,Los Angeles,Technology,Machines,entre 3 y 4,0.2,Medium,March,959.3142857142857
299,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,June,260.4068571428571
300,Standard Class,Consumer,Seattle,Technology,Accessories,entre 9 y 10,0.0,Medium,December,94.72736842105263
301,Second Class,Corporate,Dallas,Technology,Phones,entre 3 y 4,0.2,Critical,June,109.0217142857143
302,Standard Class,Home Office,Columbus,Office Supplies,Storage,entre 9 y 10,0.0,Medium,May,133.43684210526317
303,Standard Class,Consumer,Los Angeles,Furniture,Tables,entre 5 y 6,0.2,Medium,November,188.88
304,First Class,Home Office,Seattle,Technology,Phones,entre 3 y 4,0.2,High,January,172.79085714285716
305,First Class,Home Office,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Critical,September,1244.3337142857142
306,Second Class,Corporate,New York City,Technology,Phones,entre 3 y 4,0.0,Medium,October,235.7057142857143
307,Standard Class,Corporate,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,High,December,154.64000000000001
308,Standard Class,Consumer,Los Angeles,Furniture,Tables,entre 9 y 10,0.2,Medium,June,179.59831578947367
309,Standard Class,Consumer,Dallas,Technology,Phones,entre 5 y 6,0.2,High,November,119.55490909090909
310,Same Day,Corporate,Columbus,Furniture,Tables,entre 3 y 4,0.4,Critical,December,93.88285714285713
311,Standard Class,Consumer,Los Angeles,Technology,Machines,entre 1 y 2,0.2,High,September,457.5466666666667
312,Standard Class,Consumer,New York City,Furniture,Tables,entre 3 y 4,0.4,Medium,January,290.88685714285714
313,Standard Class,Corporate,New York City,Furniture,Tables,entre 3 y 4,0.4,Medium,March,306.16457142857143
314,Standard Class,Corporate,Springfield,Technology,Accessories,entre 5 y 6,0.0,Medium,May,359.94545454545454
315,Standard Class,Corporate,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,November,151.62545454545455
316,Standard Class,Consumer,Seattle,Technology,Machines,entre 3 y 4,0.2,Medium,August,239.31428571428572
317,Same Day,Corporate,Columbus,Furniture,Chairs,entre 5 y 6,0.3,Critical,December,83.3509090909091
318,Second Class,Corporate,Seattle,Technology,Accessories,entre 5 y 6,0.0,High,June,234.0818181818182
319,Second Class,Consumer,New York City,Technology,Accessories,entre 3 y 4,0.0,Critical,June,68.56285714285714
320,Second Class,Home Office,Chicago,Technology,Phones,entre 1 y 2,0.2,High,July,667.7226666666667
321,Standard Class,Corporate,Seattle,Furniture,Tables,entre 7 y 8,0.0,Medium,June,148.68933333333334
322,Second Class,Consumer,Los Angeles,Technology,Phones,entre 5 y 6,0.2,High,March,109.95490909090908
323,Standard Class,Consumer,San Diego,Technology,Phones,entre 7 y 8,0.2,Low,November,80.20479999999999
324,Standard Class,Corporate,San Francisco,Furniture,Chairs,entre 5 y 6,0.2,Medium,November,255.25818181818184
325,Standard Class,Corporate,Los Angeles,Technology,Accessories,entre 5 y 6,0.0,Medium,July,234.0818181818182
326,Second Class,Home Office,Los Angeles,Technology,Phones,entre 7 y 8,0.2,Medium,February,118.6048
327,Second Class,Consumer,Los Angeles,Furniture,Bookcases,entre 7 y 8,0.15,Critical,April,45.99746666666667
328,Standard Class,Consumer,Seattle,Technology,Machines,entre 1 y 2,0.2,High,August,372.26666666666665
329,Second Class,Consumer,New York City,Furniture,Bookcases,entre 1 y 2,0.2,High,June,267.1893333333333
330,Same Day,Corporate,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,November,385.176
331,First Class,Corporate,Los Angeles,Technology,Phones,entre 5 y 6,0.2,Medium,December,106.14545454545454
332,Standard Class,Consumer,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,December,361.6714285714285
333,Standard Class,Corporate,New York City,Office Supplies,Storage,entre 5 y 6,0.0,High,July,109.39090909090909
334,Second Class,Home Office,Seattle,Technology,Phones,entre 3 y 4,0.2,High,March,188.56457142857144
335,Standard Class,Consumer,Chicago,Furniture,Chairs,entre 3 y 4,0.3,High,November,227.98399999999998
336,Standard Class,Consumer,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,High,November,128.90057142857142
337,First Class,Consumer,San Francisco,Technology,Accessories,entre 7 y 8,0.0,Critical,July,27.990666666666666
338,Second Class,Consumer,Seattle,Furniture,Tables,entre 5 y 6,0.0,Medium,June,93.79636363636364
339,First Class,Consumer,Philadelphia,Furniture,Furnishings,entre 7 y 8,0.2,High,July,38.64
340,First Class,Home Office,Columbus,Technology,Accessories,entre 3 y 4,0.0,High,April,102.85714285714286
341,Second Class,Consumer,Los Angeles,Furniture,Chairs,entre 3 y 4,0.2,Critical,July,82.27657142857143
342,Standard Class,Corporate,Springfield,Furniture,Chairs,entre 3 y 4,0.0,Medium,September,302.60571428571427
343,Standard Class,Consumer,Seattle,Technology,Phones,entre 1 y 2,0.2,Medium,September,667.7226666666667
344,First Class,Corporate,San Francisco,Furniture,Bookcases,entre 5 y 6,0.15,Medium,October,101.21181818181817
345,Standard Class,Home Office,New York City,Office Supplies,Appliances,entre 5 y 6,0.0,Low,November,95.13636363636364
346,Second Class,Consumer,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,June,282.84857142857146
347,First Class,Consumer,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,Critical,June,62.81142857142857
348,First Class,Home Office,Los Angeles,Furniture,Bookcases,entre 5 y 6,0.15,High,June,93.48454545454545
349,First Class,Corporate,New York City,Office Supplies,Appliances,entre 3 y 4,0.0,Critical,May,67.41428571428571
350,First Class,Corporate,Philadelphia,Office Supplies,Envelopes,entre 7 y 8,0.2,High,December,46.465066666666665
351,First Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,May,68.56285714285714
352,Standard Class,Corporate,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,September,245.4857142857143
353,Second Class,Home Office,Philadelphia,Technology,Phones,entre 1 y 2,0.4,Medium,May,495.992
354,Second Class,Home Office,San Francisco,Furniture,Chairs,entre 11 y 12,0.2,Medium,May,59.252869565217395
355,Standard Class,Corporate,Seattle,Office Supplies,Paper,entre 9 y 10,0.0,High,May,46.33578947368421
356,First Class,Consumer,New York City,Furniture,Bookcases,entre 1 y 2,0.2,Critical,November,122.64533333333333
357,Second Class,Corporate,Seattle,Office Supplies,Storage,entre 5 y 6,0.0,Medium,August,104.10545454545455
358,First Class,Consumer,Los Angeles,Furniture,Chairs,entre 5 y 6,0.2,High,January,509.8036363636364
359,Standard Class,Consumer,New York City,Furniture,Chairs,entre 9 y 10,0.1,Medium,December,120.20400000000001
360,Second Class,Consumer,Los Angeles,Office Supplies,Art,entre 5 y 6,0.0,Critical,December,37.24545454545454
361,First Class,Corporate,Springfield,Furniture,Chairs,entre 1 y 2,0.2,High,October,318.9866666666667
362,Standard Class,Consumer,Dallas,Office Supplies,Storage,entre 3 y 4,0.2,High,July,96.58285714285715
363,Second Class,Home Office,Chicago,Furniture,Chairs,entre 3 y 4,0.3,High,July,162.588
364,Standard Class,Corporate,Seattle,Furniture,Tables,entre 3 y 4,0.0,Medium,April,186.72857142857143
365,Second Class,Home Office,Los Angeles,Furniture,Chairs,entre 3 y 4,0.2,Medium,February,254.92114285714288
366,Standard Class,Corporate,Seattle,Furniture,Bookcases,entre 7 y 8,0.0,Medium,July,182.37866666666665
367,Standard Class,Consumer,Houston,Furniture,Bookcases,entre 7 y 8,0.32,Medium,November,127.55530666666667
368,Standard Class,Consumer,New York City,Technology,Accessories,entre 7 y 8,0.0,Medium,November,186.65733333333336
369,First Class,Corporate,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,High,March,356.46857142857147
370,Second Class,Corporate,Philadelphia,Technology,Accessories,entre 5 y 6,0.2,Critical,March,69.08363636363636
371,Standard Class,Corporate,San Francisco,Furniture,Tables,entre 7 y 8,0.2,Medium,August,115.08373333333334
372,Standard Class,Consumer,Chicago,Furniture,Chairs,entre 5 y 6,0.3,Low,March,96.0781818181818
373,Standard Class,Consumer,San Diego,Technology,Accessories,entre 3 y 4,0.0,High,July,148.56
374,Standard Class,Consumer,Columbus,Technology,Machines,entre 3 y 4,0.0,Low,September,113.14285714285714
375,Standard Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,Medium,November,246.21714285714285
376,Standard Class,Corporate,Springfield,Technology,Phones,entre 3 y 4,0.2,Medium,September,245.4857142857143
377,First Class,Corporate,Philadelphia,Furniture,Chairs,entre 7 y 8,0.3,Critical,December,56.35
378,Standard Class,Consumer,New York City,Furniture,Chairs,entre 5 y 6,0.1,Medium,April,239.54399999999998
379,Standard Class,Consumer,Chicago,Office Supplies,Storage,entre 9 y 10,0.2,Medium,May,136.56505263157894
380,Standard Class,Consumer,Houston,Office Supplies,Envelopes,entre 9 y 10,0.2,Medium,November,63.647999999999996
381,First Class,Corporate,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,November,114.53636363636365
382,Standard Class,Consumer,Philadelphia,Technology,Copiers,entre 3 y 4,0.4,Medium,December,308.56457142857147
383,First Class,Home Office,Columbus,Furniture,Tables,entre 1 y 2,0.0,High,April,274.53333333333336
384,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,High,September,325.32266666666663
385,Standard Class,Consumer,Philadelphia,Office Supplies,Storage,entre 5 y 6,0.2,High,November,105.01527272727272
386,First Class,Home Office,Los Angeles,Furniture,Chairs,entre 1 y 2,0.2,High,December,161.04533333333333
387,Standard Class,Consumer,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,High,November,179.73257142857142
388,First Class,Consumer,San Francisco,Furniture,Tables,entre 1 y 2,0.2,High,August,140.00533333333334
389,Standard Class,Consumer,Springfield,Office Supplies,Storage,entre 9 y 10,0.2,Medium,December,68.0816842105263
390,Standard Class,Consumer,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,Medium,June,381.6228571428572
391,First Class,Consumer,Philadelphia,Furniture,Furnishings,entre 1 y 2,0.2,Critical,December,207.25333333333333
392,Standard Class,Corporate,Dallas,Furniture,Chairs,entre 5 y 6,0.3,Medium,July,119.62363636363635
393,Standard Class,Corporate,Philadelphia,Technology,Phones,entre 5 y 6,0.4,Medium,September,143.99345454545457
394,Standard Class,Consumer,Philadelphia,Office Supplies,Supplies,entre 1 y 2,0.2,High,September,444.16533333333336
395,Standard Class,Corporate,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,Medium,December,257.9177142857143
396,Standard Class,Consumer,New York City,Furniture,Chairs,entre 3 y 4,0.1,Medium,September,165.57942857142856
397,Standard Class,Corporate,Los Angeles,Office Supplies,Storage,entre 7 y 8,0.0,Medium,November,144.72266666666667
398,Standard Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,November,223.98857142857145
399,Standard Class,Home Office,New York City,Technology,Phones,entre 3 y 4,0.0,High,December,156.01714285714283
400,Second Class,Consumer,Houston,Technology,Phones,entre 7 y 8,0.2,High,July,55.992533333333334
401,Same Day,Corporate,San Diego,Furniture,Tables,entre 9 y 10,0.2,High,May,59.69684210526316
402,Standard Class,Consumer,Chicago,Office Supplies,Storage,entre 1 y 2,0.2,Medium,July,691.0826666666667
403,First Class,Home Office,Chicago,Technology,Machines,entre 1 y 2,0.3,Medium,March,383.2733333333333
404,Standard Class,Corporate,Philadelphia,Furniture,Furnishings,entre 3 y 4,0.2,Medium,December,156.32457142857143
405,First Class,Consumer,Los Angeles,Furniture,Bookcases,entre 1 y 2,0.15,Critical,June,159.77733333333333
406,First Class,Consumer,Chicago,Furniture,Bookcases,entre 5 y 6,0.3,Critical,September,89.71454545454546
407,Standard Class,Consumer,Los Angeles,Technology,Accessories,entre 7 y 8,0.0,Medium,March,139.92533333333333
408,Standard Class,Corporate,Seattle,Office Supplies,Storage,entre 7 y 8,0.0,Medium,August,133.33599999999998
409,First Class,Corporate,Columbus,Office Supplies,Appliances,entre 7 y 8,0.0,High,March,86.37866666666667
410,Standard Class,Corporate,San Diego,Furniture,Bookcases,entre 3 y 4,0.15,High,September,124.57114285714286
411,Same Day,Consumer,New York City,Furniture,Chairs,entre 7 y 8,0.1,Critical,March,51.147600000000004
412,Second Class,Corporate,New York City,Furniture,Bookcases,entre 3 y 4,0.2,Medium,July,165.46742857142857
413,Standard Class,Consumer,Springfield,Furniture,Tables,entre 7 y 8,0.0,Medium,November,136.584
414,Second Class,Consumer,Los Angeles,Furniture,Furnishings,entre 9 y 10,0.0,High,November,49.206315789473685
415,Standard Class,Home Office,Chicago,Office Supplies,Binders,entre 3 y 4,0.8,Medium,September,217.88400000000001
416,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 5 y 6,0.2,Medium,June,164.93672727272727
417,Second Class,Corporate,New York City,Office Supplies,Supplies,entre 3 y 4,0.0,High,March,99.30857142857143
418,Second Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,April,193.59428571428572
419,Second Class,Consumer,San Diego,Furniture,Chairs,entre 3 y 4,0.2,High,October,240.672
420,First Class,Home Office,San Francisco,Office Supplies,Paper,entre 3 y 4,0.0,Critical,December,47.10857142857143
421,Second Class,Consumer,Los Angeles,Technology,Phones,entre 1 y 2,0.2,Medium,April,319.94666666666666
422,First Class,Home Office,Philadelphia,Furniture,Tables,entre 1 y 2,0.4,High,August,209.688
423,Standard Class,Consumer,New York City,Furniture,Chairs,entre 7 y 8,0.1,High,August,76.4232
424,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 7 y 8,0.2,Medium,November,88.84586666666668
